CNPJ;RegistroANS;RazaoSocial;Modalidade;UF;Trimestre;Ano;ValorDespesas
10456692000130;417131;QUALIDONTO - QUALIDADE EM ODONTOLOGIA LTDA;Odontologia de Grupo;BA;Q2;2025;1155083.28
58119199000151;301949;ODONTOPREV S/A;Odontologia de Grupo;SP;Q2;2025;344095054.38
01143922000110;350346;UNIMED CACERES COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;MT;Q1;2025;5481426.31
44803922000102;315729;UNIMED DE PIRACICABA SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS;Cooperativa Médica;SP;Q3;2025;478871009.48
20119509000165;378216;FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;Autogestão;MG;Q2;2025;30097355.72
65442162000125;316997;UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA;Cooperativa odontológica;SP;Q1;2025;1532924.66
92911056000116;382639;ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC;Autogestão;RS;Q1;2025;456873.43
25250820000162;319121;UNIMED DIVINOPOLIS - COOPERATIVA DE TRABALHO MEDICO LTDA;Cooperativa Médica;MG;Q1;2025;132203582.69
50480953000172;301574;UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q3;2025;180542958.56
02172353000102;314251;CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE;Autogestão;RN;Q1;2025;17771323.75
31787625000179;330809;FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST;Autogestão;ES;Q3;2025;71684442.83
03657699000155;361011;SINDIFISCO NACIONAL - SINDICATO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL;Autogestão;DF;Q1;2025;145107614.28
36263502000152;422304;CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA.;Medicina de Grupo;RJ;Q3;2025;5068751.25
50368034000101;304123;UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q2;2025;25249570.81
41511429000120;316458;UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;PI;Q3;2025;20991720.15
67417519000140;325031;UNIMED DE LENÇOIS PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q1;2025;19511623.74
11867361000156;418919;ASSOCIAÇÃO SAÚDE SÃO JOSÉ;Medicina de Grupo;SC;Q3;2025;37545480.27
28023703000154;407534;ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA;Medicina de Grupo;RJ;Q2;2025;1223637.54
03219363000100;407224;SEPACO SAÚDE LTDA;Medicina de Grupo;SP;Q3;2025;3867936.43
11565995000154;417491;PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA;Medicina de Grupo;SP;Q1;2025;821312.65
89870547000151;311375;UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;Cooperativa Médica;RS;Q2;2025;102361428.76
16608812000154;413721;SOCIEDADE BENEFICENTE DEZOITO DE JULHO;Medicina de Grupo;MG;Q2;2025;15386735.25
31466949000105;335614;SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A;Medicina de Grupo;ES;Q3;2025;1213177893.18
00444803000135;409413;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE;Autogestão;SP;Q3;2025;10347010.62
78044815000160;322571;UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;PR;Q1;2025;28454734.58
37035441000139;358053;SELECT OPERADORA DE PLANO DE SAUDE LTDA;Medicina de Grupo;GO;Q1;2025;13069639.11
62511019000150;344800;ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS;Medicina de Grupo;SP;Q1;2025;76860965.34
41248894000110;422835;VIDA TOP MAIS SAÚDE OPERADORA DE PLANOS DE SAÚDE LTDA.;Medicina de Grupo;SP;Q2;2025;7638837.46
08707473000135;367397;UNIMED CAMPINA GRANDE - COOPERATIVA DE TRABALHO MEDICO LTDA;Cooperativa Médica;PB;Q3;2025;242362198.57
52852100000140;333808;IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO;Filantropia;SP;Q1;2025;14199446.3
14891935000110;419281;ODONTO SEG OPERADORA DE PLANOS ODONTOLOGICOS S.A.;Odontologia de Grupo;SP;Q3;2025;1253390.84
42043067000153;346209;UNIMED EXTREMO SUL COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;BA;Q2;2025;58813712.55
39149389000177;422479;LIVRI OPERADORA DE PLANO DE SAÚDE LTDA;Medicina de Grupo;SP;Q1;2025;20145.68
69612158000119;313475;UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;PI;Q3;2025;10732633.78
28633372000174;421154;SAÚDE BRASIL ASSISTÊNCIA MÉDICA LTDA.;Medicina de Grupo;SP;Q2;2025;22148368.96
39427632000171;422631;ASSOCIAÇÃO PETROBRAS DE SAÚDE - APS;Autogestão;RJ;Q3;2025;33191605.67
66343534000129;314587;UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;MG;Q1;2025;10402720.36
03230123000107;414573;UNIMED CENTRO PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;Cooperativa Médica;SP;Q1;2025;18484477.18
42182170000184;324361;CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ;Medicina de Grupo;RJ;Q3;2025;189679416.3
26150979000178;323942;FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO;Filantropia;MG;Q2;2025;19083372.52
26368613000170;347736;UNIMED CARATINGA - COOPERATIVA DE TRABALHO MÉDICO LTDA;Cooperativa Médica;MG;Q3;2025;27744924.06
36540979000138;311146;UNIMED COSTA VERDE RJ;Cooperativa Médica;RJ;Q3;2025;47025844.27
29135795000127;335479;UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;Cooperativa Médica;RJ;Q2;2025;202880823.22
25205234000104;420271;R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA;Medicina de Grupo;SP;Q3;2025;13415598.62
20160828000114;419591;ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ;Autogestão;PA;Q2;2025;2672342.51
81710543000102;336858;UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO;Cooperativa Médica;PR;Q2;2025;45085886.25
44456036000150;369659;UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q2;2025;254957127.42
01445199000124;385255;UNIHOSP SAÚDE LTDA;Medicina de Grupo;SP;Q1;2025;37360059.48
25335803000128;322326;ASSOCIAÇÃO BENEFICENTE CATÓLICA;Filantropia;MG;Q2;2025;5236122.23
03033006000153;417548;CAIXA DE ASSISTÊNCIA OSWALDO CRUZ;Autogestão;RJ;Q2;2025;86880823.2
02127779000136;364592;LEADER ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA.;Medicina de Grupo;SP;Q1;2025;14621056.39
09433795000104;418170;QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA.;Medicina de Grupo;DF;Q1;2025;91948117.85
27626696000112;323357;UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.;Cooperativa Médica;RJ;Q2;2025;33196526.71
27067508000163;421006;ASSOCIAÇÃO SÃO LUIZ SAÚDE;Medicina de Grupo;SP;Q1;2025;16124343.55
71695746000105;354279;UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS;Cooperativa Médica;SP;Q1;2025;20298131.02
35642768000143;318566;UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;AL;Q3;2025;107467350.44
01052203000194;347825;CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO;Autogestão;RJ;Q2;2025;5200972.67
42163881000101;393321;UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;Cooperativa Médica;RJ;Q2;2025;43905275.41
57149775000140;353027;UNIMED SUL PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q1;2025;16469547.46
41715325000138;422941;ARL ADMINISTRADORA DE BENEFÍCIOS LTDA.;Administradora de Benefícios;SP;Q2;2025;2840
31925548000176;309222;GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;Medicina de Grupo;RJ;Q1;2025;502737234.24
67577171000159;309524;UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q1;2025;7272764.04
03638220000133;411582;PLANO DE SAUDE ASES LTDA.;Medicina de Grupo;RJ;Q2;2025;28266018.84
51304798000104;350494;UNIODONTO DE CAMPINAS COOPERATIVA ODONTOLÓGICA;Cooperativa odontológica;SP;Q2;2025;41954394.23
71753297000104;408263;ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA;Autogestão;SP;Q2;2025;5071724.85
45118429000116;351407;UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q3;2025;92030028.16
59766105000107;406813;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE;Autogestão;SP;Q1;2025;929200.72
17505793000101;314668;ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;Autogestão;MG;Q1;2025;45234832.87
72234164000194;352519;UNIMED ALTO JACUÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;Cooperativa Médica;RS;Q1;2025;4075805.09
24294787000100;343153;UNIMED SOUSA - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;PB;Q3;2025;9013214.17
05657234000120;337374;UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA;Cooperativa Médica;RO;Q1;2025;63187066.26
58702853000155;334243;UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA;Cooperativa odontológica;SP;Q2;2025;3482190.35
00299149000113;306754;ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS;Autogestão;GO;Q2;2025;21864090.64
85246916000189;318213;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;Cooperativa Médica;SC;Q2;2025;20612125.09
88732318000108;343684;UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA.;Cooperativa Médica;RS;Q2;2025;26844963.25
41077489000187;422720;AMPLA PLANOS DE SAUDE LTDA;Medicina de Grupo;RJ;Q2;2025;133992296.94
58837188000107;346276;UNIMED SALTO/ITU - COOPERATIVA MÉDICA;Cooperativa Médica;SP;Q3;2025;216698386.76
78339439000130;312720;UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;Cooperativa Médica;PR;Q2;2025;315536094.14
21839519000138;345709;UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA;Cooperativa Médica;MG;Q1;2025;29741042.65
78420783000150;305227;UNIMED OESTE DO PARANA - COOPERATIVA DE TRABALHO MEDICO;Cooperativa Médica;PR;Q1;2025;22751546.13
75054940000162;355151;FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;Autogestão;PR;Q1;2025;82005527.72
66453168000160;327352;UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;MG;Q2;2025;13753417.87
12049486000131;418617;ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ;Autogestão;PR;Q3;2025;31718909.87
37382009000114;363855;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO;Autogestão;GO;Q2;2025;45247506.51
33601568000117;344184;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME;Autogestão;GO;Q1;2025;886413.49
17048922000171;418994;ODONTO PRIME S/S LTDA;Odontologia de Grupo;CE;Q3;2025;478543.31
00571628000147;314366;DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.;Odontologia de Grupo;SP;Q1;2025;806568.16
20168589000149;301728;PRONTOMED PLANOS DE SAÚDE LTDA;Medicina de Grupo;MG;Q2;2025;28734422.17
02315431000172;307319;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL;Autogestão;RS;Q3;2025;208621206.54
89100135000132;362832;UNIMED PLANALTO CENTRAL/RS - COOPERATIVA DE ASSISTÊNCIA  À SAÚDE LTDA.;Cooperativa Médica;RS;Q1;2025;7639796.37
37256591000172;358339;UNIODONTO DO SUL GOIANO COOPERATIVA ODONTOLOGICA;Cooperativa odontológica;GO;Q1;2025;1541897.63
02338268000163;342203;UNIODONTO DE SC COOPERATIVA ADMINISTRADORA DE CONTRATOS;Cooperativa odontológica;SC;Q3;2025;14226198.53
46614535000153;423351;AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;Medicina de Grupo;RO;Q1;2025;5128852.61
03044492000105;363189;HOSPITAL S.P. LTDA.;Medicina de Grupo;RS;Q2;2025;5027404.53
62231527000184;352331;CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO;Autogestão;SP;Q2;2025;568147529.45
87607149000111;319384;UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;Cooperativa Médica;RS;Q2;2025;82453904.7
19304091000187;419524;SORRIDEN CONVÊNIOS ODONTOLÓGICOS S.A.;Odontologia de Grupo;SP;Q1;2025;311634.77
87300448000109;306398;UNIMED - COOPERATIVA DE SERVIÇOS DE SAÚDE DOS VALES DO TAQUARI E RIO PARDO LTDA.;Cooperativa Médica;RS;Q1;2025;135438392.8
34269803000168;331317;REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;Autogestão;RJ;Q3;2025;236682508.02
15713057000105;420000;ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL;Medicina de Grupo;BA;Q3;2025;48437458.9
03518900000113;419010;INSTITUTO CURITIBA DE SAÚDE;Autogestão;PR;Q3;2025;325470913.48
45207131000182;355577;UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q3;2025;54301537.18
25971433000115;368148;UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA;Cooperativa Médica;MG;Q1;2025;17703860.75
10796140000171;417220;ASSOCIAÇÃO SERVIÇOS ODONTOLÓGICOS DA INDÚSTRIA DE MINAS GERAIS - ODONTOINDUSTRIA;Odontologia de Grupo;MG;Q1;2025;599121.58
71186886000158;327638;UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.;Cooperativa Médica;MG;Q2;2025;8717715.04
20909271000171;354325;UNIMED ARAGUARI COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;MG;Q3;2025;61465279.37
07781345000179;416690;ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DA AMAGIS;Autogestão;MG;Q3;2025;60727066.44
02668512000156;350249;H.B. SAÚDE S/A.;Medicina de Grupo;SP;Q3;2025;232085912.53
23031479000129;311391;UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA.;Cooperativa odontológica;AM;Q2;2025;5654324.63
00368318000120;321087;UNIMED MARQUES DE VALENÇA COOPERATIVA DE TRABALHO MÉDICO LTDA.;Cooperativa Médica;RJ;Q2;2025;27869222.72
15215452000168;315583;CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB;Autogestão;BA;Q3;2025;14725289.1
80653975000158;340251;UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SC;Q3;2025;54798908.65
33721226000130;343676;SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA;Medicina de Grupo;RJ;Q1;2025;15127374.6
00668790000188;320820;CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE;Autogestão;RS;Q3;2025;39205490.96
07649106000160;303178;UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA;Cooperativa Médica;CE;Q3;2025;53283704.84
00453863000114;328537;MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;Medicina de Grupo;SP;Q1;2025;37641327.32
89640452000141;350648;UNIMED REGIÃO DA CAMPANHA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;Cooperativa Médica;RS;Q1;2025;8193213.08
15395999000192;333662;UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA;Cooperativa Médica;MS;Q3;2025;138893757.31
14799035000147;335754;ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA;Autogestão;BA;Q3;2025;83442675.51
60499365000134;410292;FUNDACAO LEONOR DE BARROS CAMARGO;Filantropia;SP;Q1;2025;17099464.49
59762062000183;414212;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS);Autogestão;SP;Q1;2025;6407809.12
92316124000107;328375;UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;Cooperativa Médica;RS;Q1;2025;6406115.28
23278898000160;333875;IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS;Filantropia;MG;Q2;2025;26140192.96
34539000000186;422029;KLINI PLANOS DE SAÚDE LTDA;Medicina de Grupo;RJ;Q2;2025;136842248.95
03670297000190;412015;MH VIDA - OPERADORA DE PLANOS DE SAÚDE LTDA;Medicina de Grupo;RJ;Q2;2025;1827224.52
10364053000145;417831;ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.;Odontologia de Grupo;SP;Q2;2025;1786930.5
41432461000110;422771;TEMPO MED PLANO DE SAUDE LTDA;Medicina de Grupo;SC;Q3;2025;57822769.66
15594468000129;343463;PLAMED PLANO DE ASSISTENCIA MEDICA LTDA;Medicina de Grupo;SE;Q2;2025;37284865.07
35917970000130;364584;UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;RJ;Q2;2025;209169245.17
33721226000130;343676;SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA;Medicina de Grupo;RJ;Q3;2025;47126791.54
02192677000102;342157;UNIMED MORRINHOS COOPERATIVA DE TRABALHO MEDICO;Cooperativa Médica;GO;Q1;2025;2544526.85
34907159000106;422088;ODONT-OPERADORA ODONTOLOGICA LTDA;Odontologia de Grupo;SP;Q2;2025;1395579.77
02018620000183;344788;UNIMED DE CORUMBA COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;MS;Q1;2025;2827472.18
00532888000103;353698;UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;Cooperativa Médica;RS;Q2;2025;9154788.9
03658432000182;323080;GEAP AUTOGESTÃO EM SAÚDE;Autogestão;DF;Q2;2025;2346657264.15
04487255000181;000701;UNIMED SEGUROS SAÚDE S/A;Seguradora Especializada em Saúde;SP;Q1;2025;1205194240.59
07649106000160;303178;UNIMED DE SOBRAL SOCIEDADE COOPERATIVA MÉDICA LTDA;Cooperativa Médica;CE;Q1;2025;16312706.45
04503249000170;388092;ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM;Autogestão;AM;Q1;2025;2074564.59
76590884000143;355691;UNIMED DO ESTADO DE SANTA CATARINA FED. EST. DAS COOP. MÉD.;Cooperativa Médica;SC;Q2;2025;297333432.24
68668045000172;401081;AMESC - ASSOCIAÇÃO MÉDICA ESPÍRITA CRISTÃ;Medicina de Grupo;RJ;Q3;2025;84540282.47
40246859000108;422754;ODILE SERVIÇOS DE SAÚDE LTDA.;Medicina de Grupo;SP;Q2;2025;183297.47
04257073000114;413330;AMEP FREGUESIA OPERADORA DE PLANO DE SAUDE LTDA;Medicina de Grupo;RJ;Q3;2025;28423070.96
02569472000195;415910;CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA;Medicina de Grupo;SP;Q2;2025;1236405.4
00950062000164;350699;CENTRO HOSPITALAR ATIBAIA LTDA.;Medicina de Grupo;SP;Q2;2025;61336936.88
87638334000173;357022;UNIMED ERECHIM - COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;Cooperativa Médica;RS;Q3;2025;63540138
00747041000146;302228;UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO;Cooperativa Médica;GO;Q1;2025;6285381.92
02852017000100;352586;SISTEMAS E PLANOS DE SAÚDE LTDA.;Medicina de Grupo;SP;Q2;2025;31347686
04212174000179;413747;DENTAL MASTER LTDA - EPP;Odontologia de Grupo;AL;Q3;2025;3003964.17
16513178000176;343889;UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;MG;Q2;2025;2743987638.56
04222235000189;414654;SEMPRE ODONTO PLANOS ODONTOLOGICOS LTDA;Odontologia de Grupo;RJ;Q1;2025;1585683.55
92240605000178;304212;ON MED ASSISTÊNCIA MÉDICA LTDA;Medicina de Grupo;RS;Q1;2025;2485208.98
50565317000143;424188;SERV  SOCIAL AUTÔNOMO DE ASSIST À SAÚDE DOS SERV PÚBLICOS E MILITARES DE GOIÁS;Autogestão;GO;Q3;2025;1800511827.15
00361325000108;357511;HUMANA SAÚDE NORDESTE LTDA.;Medicina de Grupo;PI;Q1;2025;241599986.26
03548273000163;411868;MEDIC GLOBAL PLANOS DE SAÚDE LTDA.;Medicina de Grupo;MG;Q2;2025;3888404.49
51262335000119;415944;CLÍNICA SÃO GABRIEL S/S LTDA;Medicina de Grupo;SP;Q2;2025;68474.5
20961779000119;419958;ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS;Medicina de Grupo;SP;Q2;2025;16021061.67
59847780000152;327417;AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA;Medicina de Grupo;SP;Q2;2025;123601124.74
65732836000126;345776;UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO;Cooperativa Médica;SP;Q2;2025;28380794.05
71559272000174;410128;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE;Autogestão;SP;Q2;2025;21054355.5
57272510000135;406937;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE;Autogestão;SP;Q3;2025;16943984.15
60975174000100;314218;ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO;Filantropia;SP;Q2;2025;341876341.75
00103956000119;300136;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;Cooperativa Médica;RS;Q1;2025;28729013.43
68682715000105;324299;PLAMER PLANO MEDICO RESENDE LTDA;Medicina de Grupo;RJ;Q1;2025;8188441.83
14946109000120;419141;ASSOCIAÇÃO SÃO FRANCISCO VIDA;Medicina de Grupo;SP;Q1;2025;26422662.84
90619818000180;341941;HOSPITAL DE PRONTOCLINICA LTDA.;Medicina de Grupo;RS;Q3;2025;12639124.29
