RazaoSocial;UF;TotalDespesas;MediaPorTrimestre;DesvioPadrao;QuantidadeTrimestres
UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO;PR;756063225.85;252021075.28;132632078.92;3
ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS;SP;732062004.21;244020668.07;127069908.71;3
PLANO HOSPITAL SAMARITANO LTDA;SP;714003894.24;238001298.08;121234524.74;3
UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO;SP;694717853.88;231572617.96;128930034.16;3
PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE;RJ;685221796.56;228407265.52;124693825.81;3
UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO;SP;675903366.77;225301122.26;122981572.71;3
UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO;PE;652132287.08;217377429.03;113684212.42;3
UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE;RJ;649752984.14;216584328.05;119136867.42;3
ALICE OPERADORA LTDA.;SP;645975320.35;215325106.78;130004644.85;3
UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO;RJ;631979890.62;210659963.54;108276906.89;3
UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;630961521.34;210320507.11;112299573.72;3
INSTITUTO CURITIBA DE SAÚDE;PR;627197346.31;209065782.10;114226111.90;3
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL;CE;616877899.77;205625966.59;112996599.64;3
UNIMED NORTE DO MATO GROSSO COOPERATIVA DE TRABALHO MÉDICO;MT;615998077.25;205332692.42;111484947.01;3
UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO;ES;611939065.13;203979688.38;105605587.69;3
CENTRO CLÍNICO GAÚCHO LTDA;CE;611289899.36;203763299.79;107674174.97;3
UNIMED NOVA FRIBURGO-SOC.COOP.SERV.MED.HOSP.LTDA.;RJ;603252084.51;201084028.17;101563287.12;3
HUMANA SAÚDE LTDA.;PR;580840232.44;193613410.81;93650425.90;3
SAMEL PLANO DE SAÚDE LTDA;AM;575629968.56;191876656.19;100426825.15;3
UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA.;MG;572230857.18;190743619.06;98008778.67;3
SOBAM CENTRO MÉDICO HOSPITALAR S.A.;SP;569300730.14;189766910.05;94991268.09;3
LEVE SAUDE OPERADORA DE PLANOS DE SAUDE S.A;RJ;569173847.78;189724615.93;107450672.57;3
UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;PE;566748301.89;188916100.63;97211022.51;3
UNIMED DE SANTA BÁRBARA D'OESTE E AMERICANA - COOP DE TRABALHO MÉDICO;SP;556208310.40;185402770.13;97004906.94;3
UNIMED NOVA IGUACU COOPERATIVA DE TRABALHO MEDICO;RJ;551764018.90;183921339.63;92329697.84;3
QUALLITY PRÓ SAÚDE PLANO DE ASSISTÊNCIA MÉDICA LTDA.;DF;539157005.51;179719001.84;88437660.95;3
UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO;SP;523417506.85;174472502.28;90370489.33;3
UNIMED FRANCA - SOCIEDADE COOPERATIVA DE SERVIÇOS MÉDICOS E HOSPITALARES;SP;520379977.59;173459992.53;92083030.72;3
UNIMED DE MARILIA COOPERATIVA DE TRABALHO MÉDICO;SP;519148556.78;173049518.93;91859738.52;3
UNIMED DE ARARAQUARA - COOP. DE TRAB. MÉDICO;SP;511967185.05;170655728.35;91125156.81;3
METRUS INSTITUTO DE SEGURIDADE SOCIAL;SP;511153924.00;170384641.33;76614119.39;3
FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;PR;507224678.71;169074892.90;87036450.66;3
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA;SP;501523115.58;167174371.86;87950752.46;3
ASSOCIACAO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DE SAO PAULO;SP;500683892.32;166894630.77;88181051.92;3
ITAUSEG SAÚDE S.A.;SP;499895074.05;166631691.35;84375085.88;3
UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO;PR;497148553.87;165716184.62;88243560.74;3
DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.;RS;492296245.61;164098748.54;93801651.40;3
FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL;PE;487900141.11;162633380.37;96640299.80;3
ASSOCIAÇÃO SANTA SAÚDE;SP;477925338.56;159308446.19;79573421.42;3
UNIMED DO CEARÁ - FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS MÉDICAS DO ESTADO DO CEARÁ LTDA.;CE;475015644.40;158338548.13;84780409.47;3
UNIMED CAMPINA GRANDE - COOPERATIVA DE TRABALHO MEDICO LTDA;PB;473930600.38;157976866.79;83959507.06;3
REAL GRANDEZA - FUNDAÇÃO DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL;RJ;465458596.15;155152865.38;81894960.48;3
H.B. SAÚDE S/A.;SP;463063152.93;154354384.31;78391992.83;3
BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA.;SP;462616101.00;154205367.00;77199877.88;3
ALVORECER - ASSOCIAÇÃO DE SOCORROS MÚTUOS;SP;461260477.95;153753492.65;76605552.64;3
UNIMED DE CRICIÚMA COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO CARBONÍFERA;SC;461186655.31;153728885.10;83820039.35;3
CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP;RJ;459398995.08;153132998.36;75371689.27;3
UNIMED GOVERNADOR VALADARES COOP. DE TRABALHO MÉDICO LTDA.;MG;448824563.52;149608187.84;79428455.00;3
COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.;RS;443221179.87;147740393.29;78800384.84;3
SERVIÇO SOCIAL DA INDÚSTRIA DO PAPEL, PAPELÃO E CORTIÇA DO ESTADO DE SÃO PAULO - SEPACO;SP;441027143.37;147009047.79;78838325.27;3
COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE;MG;439314368.91;146438122.97;78060296.79;3
PROMÉDICA - PROTEÇÃO MEDICA A EMPRESAS S.A.;BA;437058751.67;145686250.56;71779331.52;3
UNIMED SALTO/ITU - COOPERATIVA MÉDICA;SP;428243380.27;142747793.42;73433792.94;3
PLANO DE SAÚDE ANA COSTA LTDA.;SP;423134373.90;141044791.30;71339082.52;3
UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA;RO;422429254.29;140809751.43;78231313.82;3
KLINI PLANOS DE SAÚDE LTDA;RJ;415692689.31;138564229.77;77858859.29;3
CIRCULO OPERARIO CAXIENSE;RS;407896329.70;135965443.23;70084642.43;3
UNIMED ANHANGUERA COOPERATIVA DE TRABALHO MÉDICO;SP;401398454.16;133799484.72;66917314.88;3
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL;RS;399801677.42;133267225.81;73874654.08;3
UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;398381394.98;132793798.33;69676262.11;3
UNIMED DE CAMPOS COOPERATIVA DE TRABALHO MÉDICO;RJ;383450248.87;127816749.62;68508929.00;3
BIOVIDA SAÚDE LTDA.;SP;379404886.29;126468295.43;64166809.09;3
2CARE OPERADORA DE SAÚDE LTDA.;SP;376541573.07;125513857.69;63817996.77;3
AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA;SP;375030592.00;125010197.33;66270434.73;3
CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ;RJ;372278464.67;124092821.56;65450485.13;3
UNIMED PATOS DE MINAS COOPERATIVA TRABALHO MÉDICO LTDA.;MG;368867851.36;122955950.45;64532449.25;3
UNIMED RONDONOPOLIS COOPERATIVA DE TRABALHO MÉDICO LTDA;MT;367322420.42;122440806.81;64147777.39;3
UNIMED DE GUARULHOS COOPERATIVA DE TRABALHO MÉDICO;SP;367132323.68;122377441.23;65892205.42;3
UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MÉDICO;SP;366702415.73;122234138.58;60893462.07;3
UNIMED DO SUDOESTE COOPERATIVA DE TRABALHO MEDICO LTDA;BA;362688628.58;120896209.53;61682375.71;3
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI;RS;358449946.17;119483315.39;67786947.75;3
UNIMED CHAPECÓ - COOPERATIVA DE TRABALHO MÉDICO DA REGIÃO OESTE CATARINENSE;SC;357995447.80;119331815.93;66703034.30;3
UNIMED LESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO;SP;356548527.87;118849509.29;58866010.71;3
NOSSA SAÚDE - OPERADORA PLANOS PRIVADOS DE ASSISTÊNCIA  À SAÚDE LTDA.;PR;352700527.10;117566842.37;60046422.75;3
UNIMED DE LIMEIRA COOPERATIVA DE TRABALHO MÉDICO;SP;346289781.91;115429927.30;64040337.59;3
UNIMED AMPARO COOPERATIVA DE TRABALHO MÉDICO;SP;340120848.95;113373616.32;60631533.68;3
FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS;SC;339127177.62;113042392.54;62327692.20;3
UNIMED DE BEBEDOURO COOPERATIVA DE TRABALHO MÉDICO;SP;337395951.42;112465317.14;59252391.54;3
INTEGRA ASSISTENCIA MEDICA SA;SP;336967830.66;112322610.22;42502973.56;3
PLENA SAÚDE S.A.;SP;336821392.24;112273797.41;56509474.00;3
AMPLA PLANOS DE SAUDE LTDA;RJ;331437375.75;165718687.88;44867892.35;2
UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO;GO;324545125.56;108181708.52;55568357.09;3
UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO;MT;320434899.13;106811633.04;56673309.89;3
UNIMED CENTRO RONDÔNIA COOPERATIVA DE TRABALHO MÉDICO;RO;319288639.12;106429546.37;58245418.22;3
LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A;SP;318732361.88;106244120.63;56569888.28;3
PROASA SAÚDE;DF;313811827.38;104603942.46;60794105.27;3
UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;313513052.48;104504350.83;55444297.15;3
UNIMED COSTA OESTE - COOPERATIVA DE TRABALHO MÉDICO;PR;313511935.92;104503978.64;57474829.38;3
SERMED-SAÚDE LTDA.;SP;310234238.72;103411412.91;54075343.07;3
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA EMPRESA BRASILEIRA DE PESQUISA  AGROPECUÁRIA;DF;307638801.52;102546267.17;57162375.85;3
S.P.A SAUDE- SISTEMA DE PROMOÇÃO ASSISTENCIAL;SP;306933383.98;102311127.99;52466845.21;3
ASSOCIAÇÃO ASSISTENCIAL DE SAÚDE SUPLEMENTAR CRUZ AZUL SAÚDE;SP;306300092.44;102100030.81;45071923.68;3
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA;PR;302859774.19;100953258.06;55787878.14;3
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA;SP;302602263.19;100867421.06;59806112.77;3
UNIMED NOROESTE/RS - SOCIEDADE COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;297272578.11;99090859.37;51895192.81;3
UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA;AC;296848842.04;98949614.01;49336162.88;3
SÃO LUCAS SAÚDE S/A;SP;292170012.54;97390004.18;49021610.82;3
ABERTTA SAÚDE - ASSOCIAÇÃO BENEFICENTE DOS EMPREGADOS DA ARCELORMITTAL NO BRASIL;MG;291908425.80;97302808.60;51661658.25;3
UNIÃO MÉDICA PLANOS DE SAÚDE S/A;BA;289990393.07;96663464.36;50165318.41;3
UNIMED NOROESTE CAPIXABA COOPERATIVA DE TRABALHO MÉDICO.;ES;281518209.86;93839403.29;49828342.74;3
UNIMED DE RIO CLARO SP COOPERATIVA DE TRABALHO MEDICO;SP;276786272.61;92262090.87;48765884.34;3
FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG;MG;275181584.59;91727194.86;46636250.82;3
FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL;PR;272995821.77;90998607.26;39377465.02;3
UNIMED PATO BRANCO SOCIEDADE COOPERATIVA DE MÉDICOS;PR;270669356.26;90223118.75;46320133.13;3
PLANO DE SAÚDE DA SANTA CASA DE BRAGANÇA PAULISTA;SP;268149125.15;89383041.72;45032684.62;3
LIFE EMPRESARIAL SAÚDE LTDA.;SP;267523039.22;89174346.41;49314032.54;3
SAUDE PAS - MEDICINA E ODONTO;RS;267000537.63;89000179.21;46575316.49;3
CAIXA DE ASSISTÊNCIA OSWALDO CRUZ;RJ;266353458.15;88784486.05;46180478.98;3
UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO;RJ;265810742.19;88603580.73;45492360.68;3
UNIMED DE DOURADOS COOPERATIVA DE TRABALHO MÉDICO LTDA;MS;264311940.31;88103980.10;50175502.65;3
UNIMED DE OURINHOS - COOPERATIVA DE TRABALHO MÉDICO;SP;257550152.40;85850050.80;44502089.57;3
UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO;SP;255769897.94;85256632.65;43928402.39;3
UNIMED DE TUBARAO - COOPERATIVA DE TRABALHO MEDICO DA REGIAO DA AMUREL;SC;252993697.96;84331232.65;47130526.57;3
SANTA CASA DE MISERICÓRDIA DE JUIZ DE FORA;MG;252453084.01;84151028.00;46528402.43;3
UNIMED MARANHÃO DO SUL - COOPERATIVA DE TRABALHO MÉDICO;MA;249069490.28;83023163.43;52276621.89;3
UNIMED PLANALTO MÉDIO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;248344398.32;82781466.11;42032082.26;3
CABERJ INTEGRAL SAÚDE S.A;RJ;241179760.44;80393253.48;41328685.58;3
POLICLIN SAÚDE S/A.;SP;240942465.18;80314155.06;40838274.83;3
UNIMED DE ARACATUBA - COOPERATIVA DE TRABALHO MÉDICO;SP;239395679.28;79798559.76;41055651.64;3
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA;MG;235810962.70;78603654.23;39781621.11;3
MED-TOUR ADMINISTRADORA DE BENEFÍCIOS E EMPREENDIMENTOS LTDA.;SP;233547270.26;77849090.09;41005922.88;3
UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO;PR;232269549.15;77423183.05;40229403.48;3
UNIHOSP SAÚDE LTDA;SP;232219864.11;77406621.37;40522792.95;3
OPERADORA UNIESTE DE PLANOS DE SAÚDE LTDA;RJ;232149041.45;77383013.82;39916469.16;3
MÚTUA DOS MAGISTRADOS DO ESTADO DO RIO DE JANEIRO;RJ;230916219.90;76972073.30;42167052.79;3
UNIMED DO CARIRI - SOCIEDADE COOPERATIVA MÉDICA LTDA;CE;228496114.87;76165371.62;42286897.13;3
UNIMED CENTRO OESTE PAULISTA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS;SP;224966731.37;74988910.46;41267119.29;3
UNIMED DE MANAUS COOP. DO TRABALHO MÉDICO LTDA;AM;224406464.48;74802154.83;48952279.39;3
UNIMED ANÁPOLIS COOPERATIVA DE TRABALHO MÉDICO.;GO;217983977.90;72661325.97;36136474.05;3
UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO;MG;215367018.67;71789006.22;36039138.55;3
UNIMED ENCOSTA DA SERRA/RS SOCIEDADE COOPERATIVA DE SERVIÇOS DE SAÚDE LTDA.;RS;214761245.96;71587081.99;38856247.29;3
UNIMED METROPOLITANA DO AGRESTE - COOPERATIVA DE TRABALHO MÉDICO;AL;212484328.50;70828109.50;36624163.00;3
UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO;MG;211868397.56;70622799.19;36836646.03;3
ASSOCIAÇÃO ADVENTISTA NORTE BRASILEIRA DE PREVENÇÃO E ASSISTÊNCIA A SAÚDE;PA;210506068.05;70168689.35;35152872.19;3
UNIMED COSTA DO DESCOBRIMENTO COOPERATIVA DE TRABALHO MÉDICO;BA;210026459.83;70008819.94;38031857.60;3
UNIMED ARARUAMA COOPERATIVA DE TRABALHO MÉDICO LTDA;RJ;205046150.95;68348716.98;37608441.52;3
UNIMED PALMAS COOPERATIVA DE TRABALHO MÉDICO;TO;202829962.61;67609987.54;33028365.53;3
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE;MG;202151456.02;67383818.67;35708599.59;3
IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ;PR;201605891.85;67201963.95;36892544.26;3
HBC SAÚDE LTDA.;SP;200276927.60;66758975.87;35047515.48;3
ASSOCIAÇÃO DA SANTA CASA SAÚDE DE RIBEIRÃO PRETO;SP;197136893.67;65712297.89;32483611.75;3
UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;195039889.26;65013296.42;33471773.43;3
UNIMED NORTE CAPIXABA- COOPERATIVA DE TRABALHO MÉDICO;ES;195037538.07;65012512.69;35519405.03;3
SIM - CAIXA DE ASSISTÊNCIA À SAÚDE;SC;194302168.74;64767389.58;34666246.05;3
UNIMED CONSELHEIRO LAFAIETE COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;188092315.02;62697438.34;33798256.28;3
BENEFICENCIA CAMILIANA DO SUL;SP;183707135.45;91853567.73;48579473.40;2
UNIMED BARRA DO GARÇAS - COOPERATIVA DE TRABALHO MÉDICO;MT;182620294.12;60873431.37;31857647.60;3
UNIMED DE CATANDUVA - COOPERATIVA DE TRABALHO MÉDICO;SP;182413160.22;60804386.74;30488083.60;3
CENTRO HOSPITALAR ATIBAIA LTDA.;SP;181915517.64;60638505.88;34510790.74;3
FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV;PE;181158537.07;60386179.02;33430737.41;3
SELECT OPERADORA DE PLANO DE SAUDE LTDA;GO;180024727.03;60008242.34;51004408.97;3
UNIMED INCONFIDENTES COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;178982695.91;59660898.64;31868331.75;3
UNIMED GUARAPUAVA COOPERATIVA DE TRABALHO MÉDICO;PR;178646903.27;59548967.76;31859283.13;3
ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL;SP;178298194.19;59432731.40;36578636.96;3
